directorio,sex,female,age,max_educ_level,total_hours_worked,estrato1,micro_empresa,formal,tipo_ocup,size_firm,oficio,college,ingtot,y_ing_lab_m,y_ing_lab_m_ha,y_salary_m,y_salary_m_hu,y_total_m,y_total_m_ha
4514331,1,0,36,6,45,2,0,1,2,5,39,1,1840833.33333333,1620833.25,8404.3203125,1300000,6740.74072265625,1620833.25,8404.3203125
4514333,1,0,51,7,48,2,0,1,1,3,85,0,1878973.33333333,1378973.375,6703.3427734375,1200000,5833.33349609375,1378973.375,6703.3427734375
4514334,1,0,45,4,56,2,1,1,1,2,45,0,883357,883357,3680.65405273438,737717,3073.82080078125,883357,3680.65405273438
4514335,1,0,61,3,40,2,0,0,1,4,53,0,1200000,700000,4083.33325195312,700000,4083.33325195312,700000,4083.33325195312
4514338,0,1,35,7,48,2,0,1,2,5,13,0,1941500,1941500.125,9437.84765625,1700000,8263.888671875,1941500.125,9437.84765625
4514339,0,1,35,6,40,2,0,1,1,5,42,1,1083000,1083000,6317.5,950000,5541.66650390625,1083000,6317.5
4514339,1,0,39,7,44,2,0,1,1,5,33,0,1716333.33333333,1616333.375,8571.46484375,1450000,7689.39404296875,1616333.375,8571.46484375
4514343,1,0,29,6,54,2,1,1,1,2,45,1,779000,779000,3366.04931640625,750000,3240.74072265625,779000,3366.04931640625
4514348,0,1,56,4,48,2,0,1,1,5,55,0,820857,820857,3990.27709960938,737717,3586.12426757812,820857,3990.27709960938
4514349,1,0,23,7,40,2,0,1,1,5,39,0,1226333.41666667,882333.4375,5146.94482421875,737717,4303.34912109375,882333.4375,5146.94482421875
4514349,1,0,30,6,54,2,0,1,1,3,53,1,1237806.66666667,949806.6875,4104.10302734375,800000,3456.7900390625,949806.6875,4104.10302734375
4514350,1,0,28,7,48,2,0,1,1,5,39,0,949806.666666667,949806.6875,4617.11572265625,800000,3888.88891601562,949806.6875,4617.11572265625
4514352,1,0,36,6,16,2,1,0,1,2,37,1,310000,300000,4375,300000,4375,300000,4375
4514354,0,1,33,7,48,2,0,1,1,3,39,0,1591500,1591500,7736.45849609375,1500000,7291.66650390625,1591500,7736.45849609375
4514354,1,0,38,6,48,2,0,1,1,5,37,1,795883.666666667,795883.6875,3868.87915039062,737717,3586.12426757812,795883.6875,3868.87915039062
4514357,0,1,51,6,45,2,0,1,1,4,55,1,1083333.33333333,1083333.375,5617.2841796875,1000000,5185.18505859375,1083333.375,5617.2841796875
4514359,1,0,43,7,48,2,0,1,1,5,21,0,3633333.33333333,3633333.25,17662.037109375,3500000,17013.888671875,3633333.25,17662.037109375
4514360,0,1,41,6,40,2,0,1,2,5,32,1,1659806.66666667,1659806.625,9682.205078125,1400000,8166.66650390625,1659806.625,9682.205078125
4514361,0,1,31,6,48,2,0,1,1,4,97,1,826883.666666667,826883.6875,4019.57348632812,737717,3586.12426757812,826883.6875,4019.57348632812
4514361,1,0,36,5,48,2,0,1,1,4,98,0,825800.333333333,825800.375,4014.30737304688,737717,3586.12426757812,825800.375,4014.30737304688
4514363,0,1,50,6,48,2,0,1,1,5,55,1,910333.416666667,910333.4375,4425.23193359375,737717,3586.12426757812,910333.4375,4425.23193359375
4514364,0,1,42,6,48,2,1,1,3,1,54,1,1087000,1087000,5284.02783203125,900000,4375,1087000,5284.02783203125
4514364,1,0,45,4,45,2,0,1,1,3,98,0,1500000,1500000,7777.77783203125,1500000,7777.77783203125,1500000,7777.77783203125
4514364,1,0,20,7,60,2,0,1,1,5,95,0,786000,786000,3056.66674804688,786000,3056.66674804688,786000,3056.66674804688
4514365,1,0,49,6,48,2,0,1,1,4,58,1,1283140,1283140,6237.486328125,1200000,5833.33349609375,1283140,6237.486328125
4514368,1,0,27,7,42,2,0,1,1,5,33,0,1333140,1333140,7406.33349609375,1200000,6666.66650390625,1333140,7406.33349609375
4514369,0,1,24,7,40,2,0,1,1,4,30,0,3050000,3050000,17791.666015625,2300000,13416.6669921875,3050000,17791.666015625
4514369,0,1,47,7,84,2,0,1,1,5,19,0,2283333.33333333,2283333.25,6342.59228515625,1700000,4722.22216796875,2283333.25,6342.59228515625
4514370,1,0,21,7,15,3,0,0,1,3,42,0,350000,350000,5444.4443359375,350000,5444.4443359375,350000,5444.4443359375
4514371,1,0,29,6,48,2,1,0,1,2,55,1,820857,820857,3990.27709960938,737717,3586.12426757812,820857,3990.27709960938
4514374,1,0,35,4,56,2,0,1,1,5,98,0,1513140,1513140,6304.75,1200000,5000,1513140,6304.75
4514374,0,1,56,6,48,2,0,1,1,5,55,1,882333.416666667,882333.4375,4289.12109375,737717,3586.12426757812,882333.4375,4289.12109375
4514375,0,1,53,6,48,2,0,1,1,5,45,1,1275000,1275000,6197.91650390625,1200000,5833.33349609375,1275000,6197.91650390625
4514375,0,1,23,7,48,2,0,1,1,5,39,0,1625000,1625000,7899.3056640625,1500000,7291.66650390625,1625000,7899.3056640625
4514376,1,0,41,6,49,2,0,1,1,3,55,1,820857,820857,3908.8427734375,737717,3512.93798828125,820857,3908.8427734375
4514377,0,1,32,6,48,2,0,0,1,5,32,1,820857,820857,3990.27709960938,737717,3586.12426757812,820857,3990.27709960938
4514378,1,0,62,4,84,2,1,0,1,2,39,0,1550000,1200000,3333.33325195312,1200000,3333.33325195312,1200000,3333.33325195312
4514379,1,0,24,7,48,2,0,1,1,5,84,0,1693140,1693140,8230.5419921875,1400000,6805.5556640625,1693140,8230.5419921875
4514380,0,1,43,7,30,3,0,1,2,5,13,0,3150000,3150000,24500,2800000,21777.77734375,3150000,24500
4514380,1,0,55,7,30,3,0,1,2,5,13,0,2925000,2925000,22750,2600000,20222.22265625,2925000,22750
4514381,0,1,73,4,40,2,1,1,3,1,54,0,1587717,737717,4303.34912109375,737717,4303.34912109375,737717,4303.34912109375
4514382,1,0,51,5,48,2,1,0,1,2,93,0,1000000,1000000,4861.111328125,1000000,4861.111328125,1000000,4861.111328125
4514384,0,1,47,6,48,3,0,1,1,5,97,1,882523.666666667,882523.6875,4290.0458984375,737717,3586.12426757812,882523.6875,4290.0458984375
4514384,0,1,29,6,40,3,0,1,1,4,39,1,1237140,1087140,6341.64990234375,900000,5250,1087140,6341.64990234375
4514387,0,1,25,6,60,3,1,1,3,1,54,1,1551473.33333333,741473.3125,2883.50732421875,625000,2430.5556640625,741473.3125,2883.50732421875
4514388,0,1,24,6,48,3,0,1,1,5,58,1,935166.666666667,935166.6875,4545.94921875,781000,3796.52783203125,935166.6875,4545.94921875
4514388,1,0,27,6,48,3,0,1,1,5,58,1,941166.666666667,941166.6875,4575.11572265625,781000,3796.52783203125,941166.6875,4575.11572265625
4514390,1,0,52,7,45,4,0,1,2,5,2,0,8518125.00000001,7892291.787500022,41470.340820312515,7000000,37333.33203125,7892291.787500022,41470.340820312515
4514390,0,1,52,7,45,4,0,1,2,5,2,0,6018333.33333333,6018333.5,31206.173828125,5200000,26962.962890625,6018333.5,31206.173828125
4514390,1,0,25,7,48,4,0,1,1,5,2,0,1461473.33333333,1461473.375,7104.38427734375,1320000,6416.66650390625,1461473.375,7104.38427734375
4514391,0,1,30,7,48,4,0,1,1,4,2,0,2166666.66666667,2166666.75,10532.408203125,2000000,9722.22265625,2166666.75,10532.408203125
4514395,0,1,19,7,48,3,0,1,1,5,33,0,916666.666666667,916666.6875,4456.0185546875,850000,4131.9443359375,916666.6875,4456.0185546875
4514395,0,1,37,7,48,3,0,1,1,5,41,0,889357,889357,4323.26318359375,737717,3586.12426757812,889357,4323.26318359375
4514395,0,1,18,7,48,3,0,1,1,3,41,0,1308333.33333333,1008333.3125,4901.6201171875,950000,4618.0556640625,1008333.3125,4901.6201171875
4514397,1,0,41,7,48,4,0,1,1,5,44,0,6716666.66666667,5416666.5,26331.017578125,5000000,24305.5546875,5416666.5,26331.017578125
4514398,0,1,33,7,30,4,0,1,1,3,53,0,650000,650000,5055.5556640625,650000,5055.5556640625,650000,5055.5556640625
4514402,0,1,53,6,48,2,0,1,1,5,55,1,849857,849857,4131.24951171875,737717,3586.12426757812,849857,4131.24951171875
4514403,0,1,60,4,45,3,1,0,3,1,54,0,897717,737717,3825.19921875,737717,3825.19921875,737717,3825.19921875
